Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
Climate Change & Energy Transition,GRI 302: Energy 2016,Disclosure 302-1 Energy consumption within the organisation,Net Zero Endeavour Page 44 to 45,,,,
Climate Change & Energy Transition,GRI 302: Energy 2016,Disclosure 302-2 Energy consumption outside the organisation,Net Zero Endeavour Page 44 to 45,,,,
Climate Change & Energy Transition,GRI 302: Energy 2016,Disclosure 302-3 Energy intensity,Net Zero Endeavour Page 44 to 45,,,,
Climate Change & Energy Transition,GRI 3: Material Topics 2021,3-3 Management of material topics,Net Zero Endeavour Page 43 to 44,,,,
Climate Change & Energy Transition,GRI 305: Emissions 2016,Disclosure 305-1 Direct (Scope 1) GHG Emissions,Net Zero Endeavour Page 43 to 44,,,,
Climate Change & Energy Transition,GRI 305: Emissions 2016,Disclosure 305-2 Energy indirect (Scope 2) GHG emissions,Net Zero Endeavour Page 43 to 44,,,,
Water Management,GRI 3: Material Topics 2021,3-3 Management of material topics,Fostering Change with Environmental Conservation Page 47 to 48,,,,
Water Management,GRI 303: Water and Effluents 2018,Disclosure 303-1 Interactions with water as a shared resource,Fostering Change with Environmental Conservation Page 47 to 48,,,,
Water Management,GRI 303: Water and Effluents 2018,Disclosure 303-2 Management of water discharge related impacts,Fostering Change with Environmental Conservation Page 47 to 48,,,,
Water Management,GRI 303: Water and Effluents 2018,Disclosure 303-3 Water withdrawal,Fostering Change with Environmental Conservation Page 47 to 48,,,,
Water Management,GRI 303: Water and Effluents 2018,Disclosure 303-4 Water discharge,Fostering Change with Environmental Conservation Page 47 to 48,,,,
Water Management,GRI 303: Water and Effluents 2018,Disclosure 303-5 Water consumption,Fostering Change with Environmental Conservation Page 47 to 48,,,,
Biodiversity,GRI 3: Material Topics 2021,3-3 Management of material topics,Commitment to Preserving Biodiversity Page 50 to 52,,,,
Biodiversity,GRI 304: Biodiversity 2016,"Disclosure 304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",Commitment to Preserving Biodiversity Page 50 to 52,,,,
Biodiversity,GRI 304: Biodiversity 2016,"Disclosure 304-2 Significant impacts of activities, products and services on biodiversity",Commitment to Preserving Biodiversity Page 50 to 52,,,,
Biodiversity,GRI 304: Biodiversity 2016,Disclosure 304-3 Habitats protected or restored,Commitment to Preserving Biodiversity Page 50 to 52,,,,
Waste Management,GRI 3: Material Topics 2021,3-3 Management of material topics,Commitment to a greener future Page 48 to 49,,,,
Waste Management,GRI 306: Waste 2020,Disclosure 306-1 Waste generation and significant waste-related impacts,Commitment to a greener future Page 35 to 37,,,,
Waste Management,GRI 306: Waste 2020,Disclosure 306-2 Management of significant waste-related impacts,Commitment to a greener future Page 35 to 37,,,,
Waste Management,GRI 306: Waste 2020,Disclosure 306-3 Waste generated,Commitment to a greener future Page 35 to 37,,,,
Occupational Health and Safety,GRI 3: Material Topics 2021,3-3 Management of material topics,Adherence to health and safety Page 65 to 69,,,,
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,Disclosure 403-1 Occupational health and safety management system,Adherence to health and safety Page 65 to 69,,,,
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,"Disclosure 403-2 Hazard identification, risk assessment, and incident investigation",Adherence to health and safety Page 65 to 69,,,,
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,Disclosure 403-3 Occupational health services,Adherence to health and safety Page 65 to 69,,,,
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,"Disclosure 403-4 Worker participation, consultation, and communication on occupational health and safety",Adherence to health and safety Page 65 to 69,,,,
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,Disclosure 403-5 Worker training on occupational health and safety,Adherence to health and safety Page 65 to 69,,,,
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,Disclosure 403-6 Promotion of worker health,Adherence to health and safety Page 65 to 69,,,,
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,Disclosure 403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,Adherence to health and safety Page 65 to 69,,,,
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,Disclosure 403-8 Workers covered by an occupational health and safety management system,Adherence to health and safety Page 65 to 69,,,,
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,Disclosure 403-9 Work-related injuries,Adherence to health and safety Page 65 to 69,,,,
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,Disclosure 403-10 Work-related ill health,Adherence to health and safety Page 65 to 69,,,,
"Diversity, Equity, and Inclusion",GRI 3: Material Topics 2021,3-3 Management of material topics,"Diversity, Equity, and Inclusion Page 70 to 71",,,,
