Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
"Health, safety and well-being",GRI 403: Occupational Health and Safety 2018,403-5 Worker training on occupational health and safety,pg50,,,,11.9.6
"Health, safety and well-being",GRI 403: Occupational Health and Safety 2018,403-6 Promotion of worker health,pg50,,,,11.9.7
"Health, safety and well-being",GRI 403: Occupational Health and Safety 2018,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,pg50,,,,11.9.8
"Health, safety and well-being",GRI 403: Occupational Health and Safety 2018,403-8 Workers covered by an occupational health and safety management system,pg50,,,,11.9.9
"Health, safety and well-being",GRI 403: Occupational Health and Safety 2018,403-9 Work-related injuries,pg50,,,,11.9.10
"Health, safety and well-being",GRI 403: Occupational Health and Safety 2018,403-10 Work-related ill health,pg50,,,,11.9.11
Training & Development,GRI 3: Material Topics 2021,3-3 Management of material topics,pg56,,,,
Employment (Employment Attraction & Retention),GRI 3: Material Topics 2021,3-3 Management of material topics,pg46,,,,11.10.1
Employment (Employment Attraction & Retention),GRI 401: Employment 2016,401-1 New employee hires and employee turnover,pg46,,,,11.10.2
Employment (Employment Attraction & Retention),GRI 401: Employment 2016,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,"pg46, pg49",,,,11.10.3
Employment (Employment Attraction & Retention),GRI 401: Employment 2016,401-3 Parental leave,"pg46, pg49",,,,11.10.4
Employment (Employment Attraction & Retention),GRI 402: Labor/Management Relations 2016,402-1 Minimum notice periods regarding operational changes,pg46,,,,11.10.5
Employment (Employment Attraction & Retention),GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,pg56,,,,11.10.6
Employment (Employment Attraction & Retention),GRI 404: Training and Education 2016,404-2 Programs for upgrading employee skills and transition assistance programs,pg56,,,,11.10.7
Employment (Employment Attraction & Retention),GRI 414: Supplier Social Assessment 2016,414-1 New suppliers that were screened using social criteria,,,Information unavailable/incomplete,Bapco Energies is working on tracking this information.,11.10.8
Employment (Employment Attraction & Retention),GRI 414: Supplier Social Assessment 2016,414-2 Negative social impacts in the supply chain and actions taken,,,Information unavailable/incomplete,Bapco Energies is working on tracking this information.,11.10.9
"Diversity, Inclusion & Equal Opportunity",GRI 3: Material Topics 2021,3-3 Management of material topics,pg58,,,,11.11.1
"Diversity, Inclusion & Equal Opportunity",GRI 202: Market Presence 2016,202-2 Proportion of senior management hired from the local community,,,Information unavailable/incomplete,Bapco Energies is working on tracking this information.,11.11.2
"Diversity, Inclusion & Equal Opportunity",GRI 401: Employment 2016,401-3 Parental leave,"pg46, pg49",,,,11.11.3
"Diversity, Inclusion & Equal Opportunity",GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,pg56,,,,11.11.4
"Diversity, Inclusion & Equal Opportunity",GRI 405: Diversity and Equal Opportunity 2016,405-1 Diversity of governance bodies and employees,"pg59, pg64",,,,11.11.5
"Diversity, Inclusion & Equal Opportunity",GRI 405: Diversity and Equal Opportunity 2016,405-2 Ratio of basic salary and remuneration,,,Confidentiality constraints,Bapco Energies is not disclosing this data as they consider this sensitive to public reporting.,11.11.6
"Diversity, Inclusion & Equal Opportunity",GRI 406: Non-discrimination 2016,406-1 Incidents of discrimination and corrective actions taken,pg58,,,,11.11.7
Human Rights,GRI 3: Material Topics 2021,3-3 Management of material topics,pg54,,,,
Local Community Impact and Investment,GRI 3: Material Topics 2021,3-3 Management of material topics,pg60,,,,11.15.1
Local Community Impact and Investment,GRI 413: Local Communities 2016,"413-1 Operations with local community engagement, impact assessments, and development programs",pg60,,,,11.15.2
Local Community Impact and Investment,GRI 413: Local Communities 2016,413-2 Operations with significant actual and potential negative impacts on local communities,pg60,,,,11.15.3
Corporate Governance & Compliance,GRI 3: Material Topics 2021,3-3 Management of material topics,pg64,,,,
Risk & Crisis Management,GRI 3: Material Topics 2021,3-3 Management of material topics,pg74,,,,
Cybersecurity & Data Privacy,GRI 3: Material Topics 2021,3-3 Management of material topics,pg76,,,,
"Anti-corruption, Business Ethics & Transparency",GRI 3: Material Topics 2021,3-3 Management of material topics,"pg64, pg72",,,,11.20.1
"Anti-corruption, Business Ethics & Transparency",GRI 205: Anti-corruption 2016,205-1 Operations assessed for risks related to corruption,,,Information unavailable/incomplete,Bapco Energies is working on tracking this information.,11.20.2
"Anti-corruption, Business Ethics & Transparency",GRI 205: Anti-corruption 2016,205-2 Communication and training about anti-corruption policies and procedures,pg72,,,,11.20.3
"Anti-corruption, Business Ethics & Transparency",GRI 205: Anti-corruption 2016,205-3 Confirmed incidents of corruption and actions taken,,,Information unavailable/incomplete,Bapco Energies is working on tracking this information.,11.20.4
Economic Performance,GRI 3: Material Topics 2021,3-3 Management of material topics,pg78,,,,11.14.1
Economic Performance,GRI 201: Economic Performance 2016,201-1 Direct economic value generated and distributed,pg78,,,,11.14.2
Economic Performance,GRI 202: Market Presence 2016,202-2 Proportion of senior management hired from the local community,,,Information unavailable/incomplete,Bapco Energies is working on tracking this information.,11.14.3
Economic Performance,GRI 203: Indirect Economic Impacts 2016,203-1 Infrastructure investments and services supported,pg78,,,,11.14.4
Economic Performance,GRI 203: Indirect Economic Impacts 2016,203-2 Significant indirect economic impacts,pg78,,,,11.14.5
Economic Performance,GRI 204: Procurement Practices 2016,204-1 Proportion of spending on local suppliers,pg78,,,,11.14.6
