Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organizational details,"4, 58",,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organization’s sustainability reporting,58,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",58,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,"6, 13, 17, 20, 33-34, 36, 50, 51, 53-57",,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,64,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships","3, 4, 8, 19, 28-31",,,,
,GRI 2: General Disclosures 2021,2-7 Employees,"51, 25-27",,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,53-56,Workers who are not employees are not included in table “Employees 2024–2025”.,Information unavailable.,Workers who are non-employees are included (part of franchise business) in all relevant tables at pages 51-52.,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,38,OKQ8 Group AB does not fully report on this disclosure.,Confidentiality constraints.,OKQ8 Group AB is not a public company and does not report in accordance with the Swedish Code of Corporate Governance.,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,38,See above,See above,See above,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,38,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,38,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,38,,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,38,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,38,Information is not public.,Confidentiality constraints,OKQ8 is not a public company and does not report in accordance with related requirements in the Annual Accounts Act and the Swedish Code of Corporate Governance.,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,38,,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,38,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,38,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,,Information is not public.,Confidentiality constraints,OKQ8 AB Group is not a public company and does not report in accordance with related requirements in the Annual Accounts Act and the Swedish Code of Corporate Governance.,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,,See above,See above,See above,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,,Complete information from the Group companies is missing.,Information unavailable/incomplete,OKQ8 AB Group will prepare to be able to report in time for the implementation of CSRD/ESRS.,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,7,,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,"10, 33, 38-40, 44",,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,"10, 33, 38-44",,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,"33, 39-43",,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concerns,39-40,,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,40-43,,,No cases of significant non-compliance,
,GRI 2: General Disclosures 2021,2-28 Membership associations,29-30,,,,
,GRI 2: General Disclosures 2021,2-29 Approach to stakeholder engagement,"28-31, 33, 38-40",,,,
,GRI 2: General Disclosures 2021,2-30 Collective bargaining agreements,51,,,,
,GRI 3: Material Topics 2021,3-1 Process to determine material topics,33,,,,
,GRI 3: Material Topics 2021,3-2 List of material topics,33,,,,
Anti-corruption,GRI 3: Material Topics 2021,3-3 Management of material topics,"34, 38-40, 44",,,,
Anti-corruption,GRI 205: Anti-corruption 2016,205-1 Operations assessed for risks related to corruption,"34, 38",,,,11.20.2
Anti-corruption,GRI 205: Anti-corruption 2016,205-2 Communication and training about anti-corruption policies and procedures,38,,,,11.20.3
Anti-corruption,GRI 205: Anti-corruption 2016,205-3 Confirmed incidents of corruption and actions taken,"26, 38-39",,,,11.20.4
Anti-competitive behavior,GRI 3: Material Topics 2021,3-3 Management of material topics,"38-39, 44",,,,11.19.1
Anti-competitive behavior,GRI 206: Anti-competitive Behavior 2016,"206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",38-39,,,,11.19.2
Energy,GRI 3: Material Topics 2021,3-3 Management of material topics,"12-18, 34-35, 44",,,,11.1.1
Energy,GRI 302: Energy 2016,302-1 Energy consumption within the organization,45-49,,,,11.1.2
Energy,GRI 302: Energy 2016,302-2 Energy consumption outside of the organization,46-49,OKQ8 Scandinavia does not report on water consumption,Information incomplete.,OKQ8 Scandinavia will investigate how to obtain satisfying data on energy consumption outside of the organization going forward.,11.1.3
Energy,GRI 302: Energy 2016,302-3 Energy intensity,46,,,,11.1.4
Energy,GRI 302: Energy 2016,302-4 Reduction of energy consumption,45,,,,
Water and effluents,GRI 3: Material Topics 2021,3-3 Management of material topics,"22-24, 38-44",,,,11.6.1
Water and effluents,GRI 303: Water and Effluents 2018,303-1 Interactions with water as a shared resource,,OKQ8 Scandinavia does not report on water consumption,Information unavailable/incomplete,OKQ8 Scandinavia will investigate how to obtain satisfying data on water consumption going forward.,11.6.2
Water and effluents,GRI 303: Water and Effluents 2018,303-2 Management of water discharge-related impacts,,OKQ8 Scandinavia does not report on water consumption,Information unavailable/incomplete,OKQ8 Scandinavia will investigate how to obtain satisfying data on water discharge-related impacts going forward.,11.6.3
Water and effluents,GRI 303: Water and Effluents 2018,303-3 Water withdrawal,,OKQ8 Scandinavia does not report on water consumption,Information unavailable/incomplete,OKQ8 Scandinavia will investigate how to obtain satisfying data on water withdrawal going forward.,11.6.4
Water and effluents,GRI 303: Water and Effluents 2018,303-4 Water discharge,,OKQ8 Scandinavia does not report on water consumption,Information unavailable/incomplete,OKQ8 Scandinavia will investigate how to obtain satisfying data on water discharge going forward.,11.6.5
Water and effluents,GRI 303: Water and Effluents 2018,303-5 Water consumption,,OKQ8 Scandinavia does not report on water consumption,Information unavailable/incomplete,OKQ8 Scandinavia will investigate how to obtain satisfying data on water consumption going forward.,11.6.6
Biodiversity,GRI 3: Material Topics 2021,3-3 Management of material topics,"22-24, 34-35, 38-44",,,,11.4.1
Biodiversity,GRI 304: Biodiversity 2016,"304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,,Information unavailable/incomplete,OKQ8 Scandinavia will work to produce quality-assured data on biodiversity going forward.,11.4.2
Biodiversity,GRI 304: Biodiversity 2016,"304-2 Significant impacts of activities, products and services on biodiversity","22-24, 34-35, 38-44",,,,11.4.3
Biodiversity,GRI 304: Biodiversity 2016,304-3 Habitats protected or restored,42-43,,,,11.4.4
Biodiversity,GRI 304: Biodiversity 2016,304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,,,Information unavailable/incomplete,OKQ8 Scandinavia will work to produce quality-assured data on biodiversity going forward.,11.4.5
Emissions,GRI 3: Material Topics 2021,3-3 Management of material topics,"16-18, 34-35, 44",,,,11.1.1
Emissions,GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,46-48,,,,11.1.5
Emissions,GRI 305: Emissions 2016,305-2 Energy indirect (Scope 2) GHG emissions,46-48,,,,11.1.6
Emissions,GRI 305: Emissions 2016,305-3 Other indirect (Scope 3) GHG emissions,47-48,,,,11.1.7
Emissions,GRI 305: Emissions 2016,305-4 GHG emissions intensity,49,,,,11.1.8
Emissions,GRI 305: Emissions 2016,305-5 Reduction of GHG emissions,47-48,,,,11.2.3
Emissions,GRI 305: Emissions 2016,"305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",48,,,,11.3.2
Waste,GRI 3: Material Topics 2021,3-3 Management of material topics,"19-21, 44",,,,11.5.1
Waste,GRI 306: Effluents and Waste 2016,306-3 Significant spills,50,,,,11.8.2
Waste,GRI 306: Waste 2020,306-1 Waste generation and significant waste-related impacts,19-21,,,,11.5.2
Waste,GRI 306: Waste 2020,306-2 Management of significant waste-related impacts,19-21,,,,11.5.3
Waste,GRI 306: Waste 2020,306-3 Waste generated,50,,,,11.5.4
Waste,GRI 306: Waste 2020,306-4 Waste diverted from disposal,50,,,,11.5.5
Waste,GRI 306: Waste 2020,306-5 Waste directed to disposal,50,,,,11.5.6
Supplier environmental assessment,GRI 3: Material Topics 2021,3-3 Management of material topics,"19-21, 38-44",,,,
Supplier environmental assessment,GRI 308: Supplier Environmental Assessment 2016,308-2 Negative environmental impacts in the supply chain and actions taken,38-44,,,,
Employment,GRI 3: Material Topics 2021,3-3 Management of material topics,"25-27, 38-44",,,,11.10.1
Employment,GRI 401: Employment 2016,401-1 New employee hires and employee turnover,51,,,,11.10.2
Employment,GRI 401: Employment 2016,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,"31, 43",,,,11.10.3
Employment,GRI 401: Employment 2016,401-3 Parental leave,43,OKQ8 Scandinavia does not report on parental leave.,Information unavailable/incomplete,All our employees are entitled to parental leave. OKQ8 Scandinavia does not follow-up on number of employees taking parental leave or leaving OKQ8 Scandinavia after finished parental leave.,"11.10.4, 11.11.3"
Labour/management relations,GRI 3: Material Topics 2021,3-3 Management of material topics,"44, 52",,,,11.10.1
Labour/management relations,GRI 402: Labour/Management Relations 2016,402-1 Minimum notice periods regarding operational changes,51,,,,11.10.5
Occupational health and safety,GRI 3: Material Topics 2021,3-3 Management of material topics,"25-27, 38-44",,,,11.9.1
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-1 Occupational health and safety management system,43,,,,11.9.2
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,"403-2 Hazard identification, risk assessment, and incident investigation",43,,,,11.9.3
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-3 Occupational health services,43,,,,11.9.4
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,"403-4 Worker participation, consultation, and communication on occupational health and safety",43,,,,11.9.5
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-5 Worker training on occupational health and safety,43,,,,11.9.6
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-6 Promotion of worker health,43,,,,11.9.7
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,43,,,,11.9.8
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-8 Workers covered by an occupational health and safety management system,53,,,,11.9.9
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-9 Work-related injuries,55,,,,11.9.10
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-10 Work-related ill health,56,,,,11.9.11
Training and education,GRI 3: Material Topics 2021,3-3 Management of material topics,"27, 44",,,,11.10.1
Training and education,GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,,OKQ8 Scandinavia does not report on average training hours.,Information unavailable/incomplete,OKQ8 Scandinavia will investigate how to report on training going forward,"11.10.6, 11.11.4"
Training and education,GRI 404: Training and Education 2016,404-2 Programmes for upgrading employee skills and transition assistance programmes,27,,,,11.10.7
Training and education,GRI 404: Training and Education 2016,404-3 Percentage of employees receiving regular performance and career development reviews,51-52,,,,
Diversity and equal opportunity,GRI 3: Material Topics 2021,3-3 Management of material topics,"25-27, 44",,,,11.11.1
Diversity and equal opportunity,GRI 405: Diversity and Equal Opportunity 2016,405-1 Diversity of governance bodies and employees,51,,,,11.11.5
Diversity and equal opportunity,GRI 405: Diversity and Equal Opportunity 2016,405-2 Ratio of basic salary and remuneration of women to men,27,Not fully reported.,Information unavailable.,OKQ8 Scandinavia will investigate how to report on salaries with regards to our different types of employment.,11.11.6
Non-discrimination,GRI 3: Material Topics 2021,3-3 Management of material topics,"25-27, 44",,,,11.11.1
Non-discrimination,GRI 406: Non-discrimination 2016,406-1 Incidents of discrimination and corrective actions taken,52,,,,11.11.7
Freedom of association and collective bargaining,GRI 3: Material Topics 2021,3-3 Management of material topics,"19-21, 25-27, 44",,,,11.13.1
Freedom of association and collective bargaining,GRI 407: Freedom of Association and Collective Bargaining 2016,407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,"19-21, 51",Not fully reported.,Information unavailable/incomplete,We plan to commence screening of suppliers not included in EcoVadis from 2024,11.13.2
Forced or compulsory labour,GRI 3: Material Topics 2021,3-3 Management of material topics,"19-21, 25-27, 44",,,,11.12.1
Forced or compulsory labour,GRI 409: Forced or Compulsory Labour 2016,409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labour,"19-21, 38-44",Not fully reported.,Information unavailable/incomplete,We plan to commence screening of suppliers not included in EcoVadis from 2024,11.12.2
Supplier social assessment,GRI 3: Material Topics 2021,3-3 Management of material topics,"19-21, 38-44",,,,11.10.1
Supplier social assessment,GRI 414: Supplier Social Assessment 2016,414-1 New suppliers that were screened using social criteria,20-21,Not fully reported.,Information unavailable/incomplete,OKQ8 Scandinavia cannot track the number of new suppliers in our suplier assessment tool EcoVadis.,"11.10.8, 11.12.3"
Supplier social assessment,GRI 414: Supplier Social Assessment 2016,414-2 Negative social impacts in the supply chain and actions taken,38-44,,,,11.10.9
