unit_id,standard_id,standard_name,standard_type,disclosure_id,disclosure_name,requirement_id,requirement_text,requirement_type,is_omittable,year,hierarchy_level,parent_requirement
GRI101-2024-D101-5-Rd,GRI 101,Biodiversity,topic,101-5,Locations with biodiversity impacts,d,report the products and services in its supply chain with the most significant impacts on biodiversity and the countries or jurisdictions where the activities associated with these products and services take place.,shall,True,2024,1,
GRI101-2024-D101-6-Ra-i,GRI 101,Biodiversity,topic,101-6,Direct drivers of biodiversity loss,a.i,"for each site reported under 101-5-a where its activities lead or could lead to land and sea use change, report: the size in hectares of natural ecosystem converted since a cut-off or reference date, the cut-off date or reference date, and the type of ecosystem before and after conversion;",shall,True,2024,2,a
GRI101-2024-D101-6-Ra-ii,GRI 101,Biodiversity,topic,101-6,Direct drivers of biodiversity loss,a.ii,"for each site reported under 101-5-a where its activities lead or could lead to land and sea use change, report: the size in hectares of land and sea converted from one intensively used or modified ecosystem to another during the reporting period, and the type of ecosystem before and after conversion;",shall,True,2024,2,a
GRI101-2024-D101-6-Rb-i,GRI 101,Biodiversity,topic,101-6,Direct drivers of biodiversity loss,b.i,"for each site reported under 101-5-a where its activities lead or could lead to the exploitation of natural resources, report: for each wild species harvested, the quantity, the type, and extinction risk;",shall,True,2024,2,b
GRI101-2024-D101-6-Rb-ii,GRI 101,Biodiversity,topic,101-6,Direct drivers of biodiversity loss,b.ii,"for each site reported under 101-5-a where its activities lead or could lead to the exploitation of natural resources, report: water withdrawal and water consumption in megaliters;",shall,True,2024,2,b
GRI101-2024-D101-6-Rc,GRI 101,Biodiversity,topic,101-6,Direct drivers of biodiversity loss,c,"for each site reported under 101-5-a where its activities lead or could lead to pollution, report the quantity and the type of each pollutant generated;",shall,True,2024,1,
GRI101-2024-D101-6-Rd,GRI 101,Biodiversity,topic,101-6,Direct drivers of biodiversity loss,d,"for each site reported under 101-5-a where its activities lead or could lead to the introduction of invasive alien species, describe how invasive alien species are or may be introduced;",shall,True,2024,1,
GRI101-2024-D101-6-Re,GRI 101,Biodiversity,topic,101-6,Direct drivers of biodiversity loss,e,"for each product and service in its supply chain reported under 101-5-d, report the information required under 101-6-a, 101-6-b, 101-6-c, and 101-6-d, with a breakdown by country or jurisdiction;",shall,True,2024,1,
GRI101-2024-D101-6-Rf,GRI 101,Biodiversity,topic,101-6,Direct drivers of biodiversity loss,f,"report contextual information necessary to understand how the data has been compiled, including standards, methodologies, and assumptions used.",shall,True,2024,1,
GRI101-2024-D101-7-Ra-i,GRI 101,Biodiversity,topic,101-7,Changes to the state of biodiversity,a.i,"for each site reported under 101-5-a, report the following information on affected or potentially affected ecosystems: the ecosystem type for the base year;",shall,True,2024,2,a
GRI101-2024-D101-7-Ra-ii,GRI 101,Biodiversity,topic,101-7,Changes to the state of biodiversity,a.ii,"for each site reported under 101-5-a, report the following information on affected or potentially affected ecosystems: the ecosystem size in hectares for the base year;",shall,True,2024,2,a
GRI101-2024-D101-7-Ra-iii,GRI 101,Biodiversity,topic,101-7,Changes to the state of biodiversity,a.iii,"for each site reported under 101-5-a, report the following information on affected or potentially affected ecosystems: the ecosystem condition for the base year and the current reporting period;",shall,True,2024,2,a
GRI101-2024-D101-7-Rb,GRI 101,Biodiversity,topic,101-7,Changes to the state of biodiversity,b,"report contextual information necessary to understand how the data has been compiled, including standards, methodologies, and assumptions used.",shall,True,2024,1,
GRI101-2024-D101-8-Ra,GRI 101,Biodiversity,topic,101-8,Ecosystem services,a,"for each site reported under 101-5-a, list the ecosystem services and beneficiaries affected or potentially affected by the organization’s activities;",shall,True,2024,1,
GRI101-2024-D101-8-Rb,GRI 101,Biodiversity,topic,101-8,Ecosystem services,b,explain how the ecosystem services and beneficiaries are or could be affected by the organization's activities. Ecosystem services occur through an ecosystem's normal functioning and can fall into one or,shall,True,2024,1,
GRI102-2025-D102-1-Ra,GRI 102,Climate Change,topic,102-1,Transition plan for climate change mitigation,a,"describe its transition plan, including policies and actions to mitigate climate change;",shall,True,2025,1,
GRI102-2025-D102-1-Rb,GRI 102,Climate Change,topic,102-1,Transition plan for climate change mitigation,b,"describe how the transition plan aligns with the latest scientific evidence on the global effort needed to limit global warming to 1.5oC, including the source of the climate change-related scenarios used, and the methodologies and assumptions used to develop the transition plan;",shall,True,2025,1,
