Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organisational details,About Energean; Page 8,,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organisation’s sustainability reporting,Message from the CSR department; Refer also to Energean’s publicly available Annual Report (pp. 250-251); Page 82,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",Message from the CSR department; Page 82,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,"Energean in numbers / Message from the CSR department; Page 74, 82",,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,External Assurance Statement; Page 94-95,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships",About Energean; Page 9,,,,
,GRI 2: General Disclosures 2021,2-7 Employees,Energean in numbers; Page 75-76,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,"Working Conditions / Energean in numbers; Page 54, 79",,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,Leading with Integrity; Refer also to Energean’s publicly available 2023 Annual Report (pp. 100-104); Page 18-21,,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,"Leading with Integrity; Refer also to Energean’s publicly available 2023 Annual Report (pp. 109, 128-135); Page 21",,,,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,Leading with Integrity; Page 18,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,Leading with Integrity; Refer also to Energean’s publicly available Annual Report (pp. 112-116); Page 21-22,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,Leading with Integrity; Page 18-19,,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,Leading with Integrity; Page 22,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,Business conduct; Refer also to Energean’s publicly available Terms of Reference of the Nomination and Governance Committee (p. 5); Page 68,,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,Leading with Integrity; Page 22,,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,Leading with Integrity; Page 21,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,Leading with Integrity; Page 21,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,Leading with Integrity; Page 21,,,,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,Leading with Integrity; Page 21,,,,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,Leading with Integrity; Page 21,,,,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development Strategy,Chair and Chief Executive Joint Address; Page 4-5,,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,Leading with Integrity; Refer also to Energean’s publicly available Code of Ethics; Page 24-25,,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,Leading with Integrity; Refer also to Energean’s publicly available Code of Ethics; Page 19-21,,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,"Leading with Integrity / Assessing our Impact / Affected Communities / Ensuring Data Security; Page 22-25, 29-33, 61-64, 70",,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concerns,Leading with Integrity; Page 25,,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,"Commitment to Ethical Conduct and Regulatory Compliance / Energean in numbers; Page 69, 81",,,,
,GRI 2: General Disclosures 2021,2-28 Membership associations,"About Energean / Sustainability in Action / Affected communities; Page 8, 13, 62",,,,
