Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organizational details,"8, 11",,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organization’s sustainability reporting,8,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",8,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,8,,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,"8, 70",,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships",12,,,,
,GRI 2: General Disclosures 2021,2-7 Employees,32,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,38,,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,48,,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,48,,,,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,48,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,48,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,48,,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,48,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,48,,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,48,,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,48,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,48,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,,,Confidentiality constraints,"This data is not disclosed as it is viewed as sensitive to public reporting. However, Bapco Energies follows ethical workplace practices and procedures to ensure that all employees are paid fairly.",
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,,,Confidentiality constraints,"This data is not disclosed as it is viewed as sensitive to public reporting. However, Bapco Energies follows ethical workplace practices and procedures to ensure that all employees are paid fairly.",
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,,,Confidentiality constraints,"This data is not disclosed as it is viewed as sensitive to public reporting. However, Bapco Energies follows ethical workplace practices and procedures to ensure that all employees are paid fairly.",
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,"5, 7",,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,20,,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,"25, 48",,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,"20, 25",,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concerns,48,,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,48,,,,
,GRI 2: General Disclosures 2021,2-28 Membership associations,14,,,,
,GRI 2: General Disclosures 2021,2-29 Approach to stakeholder engagement,21,,,,
,GRI 2: General Disclosures 2021,2-30 Collective bargaining agreements,,,Not applicable,"Although Bahraini labor law permits collective bargaining, its application in negotiating employment contracts remains relatively infrequent.",
