Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organisational details,"2. Corporate Profile; 2.1 Mission, vision and values; p. 10",,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organisation’s sustainability reporting,7. Annexes; 7.1 About this report; p. 89,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",7. Annexes; 7.1 About this report; p. 89,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,"1. Introduction; 1.2 DESFA at a glance; p. 7; 2. Corporate Profile; 2.2 Activities, value chain and business relationships; p. 20; 7. Annexes; 7.2 ESG Key Performance Indicators (KPIs); p. 92,94,97,98,99,102",,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,7. Annexes; 7.1 About this report; p. 89,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships","2. Corporate Profile; 2.2 Activities, value chain and business relationships; p. 14-19",,,,
,GRI 2: General Disclosures 2021,2-7 Employees,5. Society; 5.1 Employment practices; p. 56; 7. Annexes; 7.2 ESG Key Performance Indicators (KPIs); p. 94,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,5. Society; 5.1 Employment practices; p. 56; 7. Annexes; 7.2 ESG Key Performance Indicators (KPIs); p. 94,,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,6. Governance; 6.1 Corporate governance; p. 81,,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,"6. Governance; 6.1 Corporate governance; p. 81,82",2-10b,Not applicable,The Members of the BoD are appointed as per the provisions of the Articles of Association on the basis of the current allocation of voting rights among the Shareholders.,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,6. Governance; 6.1 Corporate governance; p. 81,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,3. Sustainable development approach; 3.1 Strategy; p. 30; 6. Governance; 6.1 Corporate governance; p. 80,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,3. Sustainable development approach; 3.1 Strategy; p. 30; 6. Governance; 6.1 Corporate governance; p. 80,,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,3. Sustainable development approach; 3.4 Materiality analysis; p. 36,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,6. Governance; 6.1 Corporate governance; p. 82,,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,6. Governance; 6.2 Business conduct; p. 86,,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,6. Governance; 6.1 Corporate governance; p. 81,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,,"2-18 a, 2-18b, 2-18c",Not applicable,"Evaluating the performance of the BoD in overseeing the management of the Company's impacts on the economy, environment, and people, is not foreseen at the moment.",
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,6. Governance; 6.1 Corporate governance; p. 82,,,,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,6. Governance; 6.1 Corporate governance; p. 82,2-20 b,Confidentiality constraints,,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,,"2-21 a, 2-21 b, 2-21 c",Confidentiality constraints,DESFA considers the required information confidential due to competition reasons and its employee’s security.,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,1. Introduction; 1.1 CEO message; p. 4-6,,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,5. Society; 5.1 Employment practices; p. 55; 6. Governance; 6.2 Business conduct; p. 84,,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,6. Governance; 6.2 Business conduct; p. 84,,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,5. Society; 5.3 Local Communities; p. 70,,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concerns,6. Governance; 6.2 Business conduct; p. 86,,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,6. Governance; 6.2 Business conduct; p. 85; 7. Annexes; 7.2 ESG Key Performance Indicators (KPIs); p. 103,,,,
,GRI 2: General Disclosures 2021,2-28 Membership associations,3. Sustainable development approach; 3.2 Memberships and awards; p. 31,,,,
,GRI 2: General Disclosures 2021,2-29 Approach to stakeholder engagement,3. Sustainable development approach; 3.3 Stakeholder engagement; p. 33-35,,,,
,GRI 2: General Disclosures 2021,2-30 Collective bargaining agreements,5. Society; 5.1 Employment practices; p. 56,,,,
,GRI 3: Material Topics 2021,3-1 Process to determine material topics,3. Sustainable development approach; 3.4 Materiality analysis; p. 36-37,,,,
,GRI 3: Material Topics 2021,3-2 List of material topics,3. Sustainable development approach; 3.4 Materiality analysis; p. 38,,,,
"Climate adaptation, resilience, and transition/Innovation",GRI 3: Material Topics 2021,3-3 Management of material topics,"4. Environment; 4.1 Climate adaptation, resilience and transition; p. 40-44",,,,11.2.1
"Climate adaptation, resilience, and transition/Innovation",GRI 203: Indirect Economic Impacts 2016,203-1 Infrastructure investments and services supported,"4. Environment; 4.1 Climate adaptation, resilience and transition; p. 41,42",,,,No reference
"Climate adaptation, resilience, and transition/Innovation",GRI 305: Emissions 2016,305-5 Reduction of GHG emissions,4. Environment; 4.2 Carbon footprint; p. 48; 7. Annexes; 7.2 ESG Key Performance Indicators (KPIs); p. 94,,,,11.2.3
Carbon Footprint,GRI 3: Material Topics 2021,3-3 Management of material topics,4. Environment; 4.2 Carbon footprint; p. 45-52,,,,11.1.1
Carbon Footprint,GRI 302: Energy 2016,302-1 Energy consumption within the organization,4. Environment; 4.2 Carbon footprint; p. 51; 7. Annexes; 7.2 ESG Key Performance Indicators (KPIs); p. 91,,,,11.1.2
Carbon Footprint,GRI 302: Energy 2016,302-2 Energy consumption outside of the organization,,"302-2a, 302-2b, 302-2c",Information unavailable/incomplete,"DESFA uses the upstream and downstream categories and activities from the ‘GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard’ for identifying relevant energy consumption outside of the organization. ""Fuel and energy-related activities (other than fugitives)"" category which constitutes 3,56% of Scope 3 emissions, is already included in GRI 302-1 (apart from fugitive emissions which are excluded from the scope). ""Purchased goods and services"", “Capital goods” and “Investments” constitute 94,46% of Scope 3 emissions and cannot be converted into ""energy consumption outside the organization"" due to the methodology used to calculate the emissions which is based on spent report. “Upstream transportation and distribution”, “business travel” and “employee commuted” are not reported under GRI 302-2 as they constitute 0,98% of the Scope 3 emissions and are deemed insignificant by the Company to proceed with the calculation.",11.1.3
