Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organizational details,9-16,,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organization's sustainability reporting,1-4,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",1-4,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,"66, 103",,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,This report has not been subject to external assurance,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships",9-16,,,,
,GRI 2: General Disclosures 2021,2-7 Employees,55-58,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,58,,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,89-90,,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,89,,,,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,89-90,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,"23, 24; 89, 90",,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,89-90,,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,23-24,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,"91, 92",,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,"91, 92",,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,"89, 90",,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,"91, 92",,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,92,,,,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,"91, 92",,,,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,78,,,,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,1-4,,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,"21, 33, 34, 49, 58, 59, 76, 91, 94, 100, 102, 104, 108",,,,
