Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,"21, 33, 34, 49, 58, 59, 76, 91, 94, 100, 102, 104, 108",,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,94,,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concerns,94,,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,95,,,,
,GRI 2: General Disclosures 2021,2-28 Membership associations,18,,,,
,GRI 2: General Disclosures 2021,2-29 Approach to stakeholder engagement,25,,,,
,GRI 2: General Disclosures 2021,2-30 Collective bargaining agreements,,,Not applicable,This is not applicable in the country where we operate and disclose,
,GRI 3: Material Topics 2021,3-1 Process to determine material topics,"27, 28",,,,
,GRI 3: Material Topics 2021,3-2 List of material topics,26,,,,
Biodiversity,GRI 3: Material Topics 2021,3-3 Management of material topics,49,,,,11.4.1
Biodiversity,GRI 304: Biodiversity 2016,"304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,,Information unavailable/incomplete,We have not yet measured this because we have not established the necessary data collection mechanisms but plan to in the future,11.4.2
Biodiversity,GRI 304: Biodiversity 2016,"304-2 Significant impacts of activities, products and services on biodiversity",49,,,,11.4.3
Biodiversity,GRI 304: Biodiversity 2016,304-3 Habitats protected or restored,49,,,,11.4.4
Biodiversity,GRI 304: Biodiversity 2016,304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,,,Information unavailable/incomplete,We have not yet measured this because we have not established the necessary data collection mechanisms but plan to in the future,11.4.5
Water Management,GRI 3: Material Topics 2021,3-3 Management of material topics,45,,,,11.6.1
Water Management,GRI 303: Water and Effluents 2018,303-1 Interactions with water as a shared resource,45,,,,11.6.2
Water Management,GRI 303: Water and Effluents 2018,303-2 Management of water discharge-related impacts,45,,,,11.6.3
Water Management,GRI 303: Water and Effluents 2018,303-3 Water withdrawal,46,,,,11.6.4
Water Management,GRI 303: Water and Effluents 2018,303-4 Water discharge,46,,,,11.6.5
Water Management,GRI 303: Water and Effluents 2018,303-5 Water consumption,46,,,,11.6.6
Waste Management,GRI 3: Material Topics 2021,3-3 Management of material topics,47-48,,,,11.5.1
Waste Management,GRI 306: Waste 2020,306-1 Waste generation and significant waste-related impacts,47-48,,,,11.5.2
Waste Management,GRI 306: Waste 2020,306-2 Management of significant waste-related impacts,47-48,,,,11.5.3
Waste Management,GRI 306: Waste 2020,306-3 Waste generated,47,,,,11.5.4
Waste Management,GRI 306: Waste 2020,306-4 Waste diverted from disposal,48,,,,11.5.5
Waste Management,GRI 306: Waste 2020,306-5 Waste directed to disposal,47,,,,11.5.6
Climate Change & Energy Transition,GRI 3: Material Topics 2021,3-3 Management of material topics,33-42,,,,"11.1.1 , 11.3.1"
Climate Change & Energy Transition,GRI 302: Energy 2016,302-1 Energy consumption within the organization,39,,,,11.1.2
Climate Change & Energy Transition,GRI 302: Energy 2016,302-2 Energy consumption outside of the organization,39,,,,11.1.3
Climate Change & Energy Transition,GRI 302: Energy 2016,302-3 Energy intensity,39,,,,11.1.4
Climate Change & Energy Transition,GRI 302: Energy 2016,302-4 Reduction of energy consumption,39,,,,
Climate Change & Energy Transition,GRI 302: Energy 2016,302-5 Reductions in energy requirements of products and services,39,,,,
Climate Change & Energy Transition,GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,41,,,,11.1.5
Climate Change & Energy Transition,GRI 305: Emissions 2016,305-2 Energy indirect (Scope 2) GHG emissions,41,,,,11.1.6
Climate Change & Energy Transition,GRI 305: Emissions 2016,305-3 Other indirect (Scope 3) GHG emissions,,,Information unavailable/incomplete,We are considering establishing a data collection mechanism and providing emissions data in the future.,11.1.7
Climate Change & Energy Transition,GRI 305: Emissions 2016,305-4 GHG emissions intensity,,,Information unavailable/incomplete,Value is not measured yet,11.1.8
Climate Change & Energy Transition,GRI 305: Emissions 2016,305-5 Reduction of GHG emissions,"35, 42",,,,11.2.3
Climate Change & Energy Transition,GRI 305: Emissions 2016,305-6 Emissions of ozone-depleting substances (ODS),,,Information unavailable/incomplete,We are currently exploring the establishment of a data collection mechanism and plan to track it in the future.,
Climate Change & Energy Transition,GRI 305: Emissions 2016,"305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",,,Information unavailable/incomplete,We are currently exploring the establishment of a data collection mechanism and plan to track it in the future.,11.3.2
Climate Change & Energy Transition,GRI 416: Customer Health and Safety 2016,416-1 Assessment of the health and safety impacts of product and service categories,104,,,,11.3.3
Human Rights Protection & Labour Management,GRI 3: Material Topics 2021,3-3 Management of material topics,95,,,,"11.12.1 , 11.16.1 , 11.17.1"
Human Rights Protection & Labour Management,GRI 409: Forced or Compulsory Labor 2016,409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labor,,,Information unavailable/incomplete,Responsible procurement efforts are still underway,11.12.2
Human Rights Protection & Labour Management,GRI 414: Supplier Social Assessment 2016,414-1 New suppliers that were screened using social criteria,,,Information unavailable/incomplete,Supplier social screening criteria are being developed,"11.10.8 , 11.12.3"
Human Rights Protection & Labour Management,GRI 411: Rights of Indigenous Peoples 2016,411-1 Incidents of violations involving rights of indigenous peoples,,,Information unavailable/incomplete,Operations in Oman’s oil and gas sector do not impact indigenous communities or their rights. Projects are situated in areas without indigenous populations.,11.17.2
Local Community & Social Investments,GRI 3: Material Topics 2021,3-3 Management of material topics,79-86,,,,11.15.1
Local Community & Social Investments,GRI 202: Market Presence 2016,202-2 Proportion of senior management hired from the local community,,,Information unavailable/incomplete,,"11.11.2 , 11.14.3"
Local Community & Social Investments,GRI 413: Local Communities 2016,"413-1 Operations with local community engagement, impact assessments, and development programs",79-86,,,,11.15.2
Local Community & Social Investments,GRI 413: Local Communities 2016,413-2 Operations with significant actual and potential negative impacts on local communities,,,,,11.15.3
Occupational Health and Safety,GRI 3: Material Topics 2021,3-3 Management of material topics,59,,,,11.9.1
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,403-1 Occupational health and safety management system,59,,,,11.9.2
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,"403-2 Hazard identification, risk assessment, and incident investigation",63,,,,11.9.3
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,403-3 Occupational health services,60,,,,11.9.4
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,"403-4 Worker participation, consultation, and communication on occupational health and safety","59, 65, 66",,,,11.9.5
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,403-5 Worker training on occupational health and safety,66,,,,11.9.6
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,403-6 Promotion of worker health,59,,,,11.9.7
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,63,,,,11.9.8
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,403-8 Workers covered by an occupational health and safety management system,60,,,,11.9.9
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,403-9 Work-related injuries,63,,,,11.9.10
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,403-10 Work-related ill health,63,,,,11.9.11
Employment Practices & Development,GRI 3: Material Topics 2021,3-3 Management of material topics,"53-80, 95, 97, 76, 78",,,,11.10.1
Employment Practices & Development,GRI 401: Employment 2016,401-1 New employee hires and employee turnover,75,,,,11.10.2
Employment Practices & Development,GRI 401: Employment 2016,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,79,,,,11.10.3
Employment Practices & Development,GRI 401: Employment 2016,401-3 Parental leave,60,,,,"11.10.4 , 11.11.3"
Employment Practices & Development,GRI 402: Labor/Management Relations 2016,402-1 Minimum notice periods regarding operational change,,,Information unavailable/incomplete,No agreed-upon notice periods for operational changes,11.10.5
Employment Practices & Development,GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,69,,,,"11.10.6 , 11.11.4"
Employment Practices & Development,GRI 404: Training and Education 2016,404-2 Programs for upgrading employee skills and transition assistance programs,69-71,,,,11.10.7
Employment Practices & Development,GRI 404: Training and Education 2016,404-3 Percentage of employees receiving regular performance and career development reviews,75,,,,
Promoting Equal Opportunities,GRI 3: Material Topics 2021,3-3 Management of material topics,76,,,,11.11.1
Promoting Equal Opportunities,GRI 405: Diversity and Equal Opportunity 2016,405-1 Diversity of governance bodies and employees,"57, 58, 78, 79, 80, 92",,,,11.11.5
Promoting Equal Opportunities,GRI 405: Diversity and Equal Opportunity 2016,405-2 Ratio of basic salary and remuneration of women to men,,,Confidentiality constraints,"We keep this information confidential due to competitiveness, but it may be disclosed in the future",11.11.6
Promoting Equal Opportunities,GRI 406: Non-discrimination 2016,406-1 Incidents of discrimination and corrective actions taken,No incidents of discrimination were recorded during the reporting period,,,,11.11.7
Asset Integrity & Critical Incident Management,GRI 3: Material Topics 2021,3-3 Management of material topics,"47-48, 68",,,,11.8.1
Asset Integrity & Critical Incident Management,GRI 306: Effluents and Waste 2016,306-3 Significant spills,No significant spills occurred during the reporting period,,,,11.8.2
Economic Impacts,GRI 3: Material Topics 2021,3-3 Management of material topics,"101, 103, 104, 105",,,,"11.2.1 , 11.14.1"
Economic Impacts,GRI 201: Economic Performance 2016,201-1 Direct economic value generated and distributed,101,,,,11.21.2
Economic Impacts,GRI 201: Economic Performance 2016,201-2 Financial implications and other risks and opportunities due to climate change,"101, 102",,,,11.2.2
Economic Impacts,GRI 201: Economic Performance 2016,201-3 Defined benefit plan obligations and other retirement plans,Not disclosed,,Confidentiality constraints,"We keep this information confidential due to competitiveness, and internal privacy commitments.",
Economic Impacts,GRI 201: Economic Performance 2016,201-4 Financial assistance received from government,103,,,,11.21.3
Economic Impacts,GRI 203: Indirect Economic Impacts 2016,203-1 Infrastructure investments and services supported,"43, 79, 83",,,,11.14.4
Economic Impacts,GRI 203: Indirect Economic Impacts 2016,203-2 Significant indirect economic impacts,79-82,,,,11.14.5
Supply Chain Management & ICV,GRI 3: Material Topics 2021,3-3 Management of material topics,"105, 102",,,,11.14.1
Supply Chain Management & ICV,GRI 204: Procurement Practices 2016,204-1 Proportion of spending on local suppliers,107,,,,11.14.6
Supply Chain Management & ICV,GRI 308: Supplier Environmental Assessment 2016,308-1 New suppliers that were screened using environmental criteria,104,,,,
Supply Chain Management & ICV,GRI 308: Supplier Environmental Assessment 2016,308-2 Negative environmental impacts in the supply chain and actions taken,There are no records of negative environmental impacts in the supply chain,,,,
Supply Chain Management & ICV,GRI 414: Supplier Social Assessment 2016,414-2 Negative social impacts in the supply chain and actions taken,There are no records of negative environmental impacts in the supply chain,,,,11.10.9
Government Relations & Tax,GRI 3: Material Topics 2021,3-3 Management of material topics,102,,,,11.21.1
Government Relations & Tax,GRI 207: Tax 2019,207-1 Approach to tax,102,,,,11.21.4
Government Relations & Tax,GRI 207: Tax 2019,"207-2 Tax governance, control, and risk management",102,,,,11.21.5
Government Relations & Tax,GRI 207: Tax 2019,207-3 Stakeholder engagement and management of concerns related to tax,102,,,,11.21.6
Government Relations & Tax,GRI 207: Tax 2019,207-4 Country-by-country reporting,,,Not applicable,The report covers OQ’s operations in Oman only,11.21.7
Business Ethics & Anti-corruption,GRI 3: Material Topics 2021,3-3 Management of material topics,"91, 92, 93",,,,11.20.1
Business Ethics & Anti-corruption,GRI 205: Anti-corruption 2016,205-1 Operations assessed for risks related to corruption,95,,,,11.20.2
Business Ethics & Anti-corruption,GRI 205: Anti-corruption 2016,205-2 Communication and training about anti-corruption policies and procedures,93,,,,11.20.3
Business Ethics & Anti-corruption,GRI 205: Anti-corruption 2016,205-3 Confirmed incidents of corruption and actions taken,95,,,,11.20.4
Sustainable Finance,GRI 3: Material Topics 2021,3-3 Management of material topics,103,,,,
Cybersecurity & Data Privacy,GRI 3: Material Topics 2021,3-3 Management of material topics,99-100,,,,
"Agility, Innovation & Digital Transformation",GRI 3: Material Topics 2021,3-3 Management of material topics,96-98,,,,
