variant,n_total,n_pass,n_partial,n_no_evidence,rate_pass,rate_partial,rate_no_evidence
a0,8620,2285,838,5497,0.2651,0.0972,0.6377
a1,8620,2342,799,5479,0.2717,0.0927,0.6356
a2,8620,1803,542,6275,0.2092,0.0629,0.728
v_new,8620,1785,584,6251,0.2071,0.0677,0.7252
