Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organisational details,"1, 6, 14, 16",,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organisation’s sustainability reporting,6,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point","6, 7",,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,"6, 7",,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,180,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships","14, 16, 17, 22, 25",,,,
,GRI 2: General Disclosures 2021,2-7 Employees,"93, 96",,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,"93, 96",,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,148,,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,148,,,,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,148,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,149,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,"156, 157",,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,149,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,156,,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,"42, 44, 159",,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,148,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,148,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,"151, 161, 98",,,,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,"98, 150, 151",,,,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,"150, 151",,,,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,8,,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,152 - 155,,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,152 - 155,,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,"38, 42, 149, 156, 159, 162, 174",,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concerns,"159, 134",,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,"33, 78, 109 - 110, 156 - 157",,,,
,GRI 2: General Disclosures 2021,2-28 Membership associations,170 - 173,,,,
,GRI 2: General Disclosures 2021,2-29 Approach to stakeholder engagement,38 - 41,,,,
,GRI 2: General Disclosures 2021,2-30 Collective bargaining agreements,108,,,,
,GRI 3: Material Topics 2021,3-1 Process to determine material topics,42 - 43,,,,
,GRI 3: Material Topics 2021,3-2 List of material topics,43 - 45,,,,
"GHG Emissions (GRI OGSS Topic : GHG Emissions; Climate Adaptation, Resilience, and Transition)",GRI 3: Material Topics 2021,3-3 Management of material topics,46 - 49,,,,"11.1.1, 11.2.1, 11.3.1"
