Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
"GHG Emissions (GRI OGSS Topic : GHG Emissions; Climate Adaptation, Resilience, and Transition)",GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,62,,,,11.1.5
"GHG Emissions (GRI OGSS Topic : GHG Emissions; Climate Adaptation, Resilience, and Transition)",GRI 305: Emissions 2016,305-2 Energy indirect (Scope 2) GHG emissions,62,,,,11.1.6
"GHG Emissions (GRI OGSS Topic : GHG Emissions; Climate Adaptation, Resilience, and Transition)",GRI 305: Emissions 2016,305-3 Other indirect (Scope 3) GHG emissions,64,,,,11.1.7
"GHG Emissions (GRI OGSS Topic : GHG Emissions; Climate Adaptation, Resilience, and Transition)",GRI 305: Emissions 2016,305-4 GHG emissions intensity,62,,,,11.1.8
"GHG Emissions (GRI OGSS Topic : GHG Emissions; Climate Adaptation, Resilience, and Transition)",GRI 305: Emissions 2016,305-5 Reduction of GHG emissions,62,,,,11.2.3
"GHG Emissions (GRI OGSS Topic : GHG Emissions; Climate Adaptation, Resilience, and Transition)",GRI 305: Emissions 2016,305-6 Emissions of ozone depleting substances (ODS),-,,Not applicable,,
Energy Efficiency (GRI OGSS Topic : GHG Emissions),GRI 3: Material Topics 2021,3-3 Management of material topics,58,,,,11.1.1
Energy Efficiency (GRI OGSS Topic : GHG Emissions),GRI 302: Energy 2016,302-1 Energy consumption within the organisation,58,,,,11.1.2
Energy Efficiency (GRI OGSS Topic : GHG Emissions),GRI 302: Energy 2016,302-2 Energy consumption outside of the organisation,50,,,,11.1.3
Energy Efficiency (GRI OGSS Topic : GHG Emissions),GRI 302: Energy 2016,302-3 Energy intensity,58,,,,11.1.4
Energy Efficiency (GRI OGSS Topic : GHG Emissions),GRI 302: Energy 2016,302-4 Reduction of energy consumption,58,,,,
Energy Efficiency (GRI OGSS Topic : GHG Emissions),GRI 302: Energy 2016,302-5 Reductions in energy requirements of products and services,-,,Not applicable,,
Water and Wastewater Management (GRI OGSS Topic: Water and Effluents),GRI 3: Material Topics 2021,3-3 Management of material topics,46,,,,11.6.1
Water and Wastewater Management (GRI OGSS Topic: Water and Effluents),GRI 303: Water and Effluents 2018,303-1 Interactions with water as a shared resource,78,,,,11.6.2
Water and Wastewater Management (GRI OGSS Topic: Water and Effluents),GRI 303: Water and Effluents 2018,303-2 Management of water discharge-related impacts,78,,,,11.6.3
Water and Wastewater Management (GRI OGSS Topic: Water and Effluents),GRI 303: Water and Effluents 2018,303-3 Water withdrawal,79,,,,11.6.4
Water and Wastewater Management (GRI OGSS Topic: Water and Effluents),GRI 303: Water and Effluents 2018,303-4 Water discharge,79,,,,11.6.5
Water and Wastewater Management (GRI OGSS Topic: Water and Effluents),GRI 303: Water and Effluents 2018,303-5 Water consumption,79,,,,11.6.6
Product Safety and Quality (GRI: Customer Health and Safety 2016),GRI 3: Material Topics 2021,3-3 Management of material topics,47,,,,
Product Safety and Quality (GRI: Customer Health and Safety 2016),GRI 416: Customer Health and Safety 2016,416-1 Assessment of the health and safety impacts of product and service categories,128 - 131,,,,11.3.3
Product Safety and Quality (GRI: Customer Health and Safety 2016),GRI 416: Customer Health and Safety 2016,416-2 Incidents of non-compliance concerning the health and safety impacts of products and services,131,,,,
Product Safety and Quality (GRI: Marketing and Labelling 2016),GRI 3: Material Topics 2021,3-3 Management of material topics,47,,,,
Product Safety and Quality (GRI: Marketing and Labelling 2016),GRI 417: Marketing and Labelling 2016,417-1 Requirements for product and service information and labeling,129,,,,
Product Safety and Quality (GRI: Marketing and Labelling 2016),GRI 417: Marketing and Labelling 2016,417-2 Incidents of non-compliance concerning product and service information and labelling,129,,,,
Product Safety and Quality (GRI: Marketing and Labelling 2016),GRI 417: Marketing and Labelling 2016,417-3 Incidents of non-compliance concerning Marketing communications,129,,,,
Product Safety and Quality (GRI: Customer Privacy 2016),GRI 3: Material Topics 2021,3-3 Management of material topics,49,,,,
Product Safety and Quality (GRI: Customer Privacy 2016),GRI 418: Customer Privacy 2016,418-1 Substantiated complaints concerning breaches of customer privacy and losses of customer data,130,,,,
Supplier Environmental Assessment (GRI: Supplier Environmental Assessment 2016),GRI 3: Material Topics 2021,3-3 Management of material topics,46,,,,
Supplier Environmental Assessment (GRI: Supplier Environmental Assessment 2016),GRI 308: Supplier Environmental Assessment 2016,308-1 New suppliers that were screened using environmental criteria,28,,,,
Supplier Environmental Assessment (GRI: Supplier Environmental Assessment 2016),GRI 308: Supplier Environmental Assessment 2016,308-2 Negative environmental impacts in the supply chain and actions taken,28,,,,
Air Quality (GRI OGSS Topic: Air Emissions),GRI 3: Material Topics 2021,3-3 Management of material topics,46,,,,11.3.1
Air Quality (GRI OGSS Topic: Air Emissions),GRI 305: Emissions 2016,"305-7 Nitrogen oxides (NOX), sulphur oxides (SOX), and other significant air emissions",70,,,,11.3.2
Biodiversity (GRI OGSS Topic: Biodiversity),GRI 3: Material Topics 2021,3-3 Management of material topics,47,,,,11.4.1
Biodiversity (GRI OGSS Topic: Biodiversity),GRI 304: Biodiversity 2016,"304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",72,,,,11.4.2
Biodiversity (GRI OGSS Topic: Biodiversity),GRI 304: Biodiversity 2016,"304-2 Significant impacts of activities, products and services on biodiversity",72 - 73,,,,11.4.3
Biodiversity (GRI OGSS Topic: Biodiversity),GRI 304: Biodiversity 2016,304-3 Habitats protected or restored,72 - 74,,,,11.4.4
Biodiversity (GRI OGSS Topic: Biodiversity),GRI 304: Biodiversity 2016,304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,72,,,,11.4.5
Biodiversity (GRI OGSS Topic: Biodiversity),GRI 306: Waste 2020,306-1 Waste generation and significant waste-related impacts,84,,,,11.5.2
Biodiversity (GRI OGSS Topic: Biodiversity),GRI 306: Waste 2020,306-2 Management of significant waste-related impacts,84,,,,11.5.3
Biodiversity (GRI OGSS Topic: Biodiversity),GRI 306: Waste 2020,306-3 Waste generated,87,,,,11.5.4
Biodiversity (GRI OGSS Topic: Biodiversity),GRI 306: Waste 2020,306-4 Waste diverted from disposal,87,,,,11.5.5
Biodiversity (GRI OGSS Topic: Biodiversity),GRI 306: Waste 2020,306-5 Waste directed to disposal,85 - 87,,,,11.5.6
Occupational health and safety (GRI OGSS Topic: Occupational Health and Safety),GRI 3: Material Topics 2021,3-3 Management of material topics,47,,,,11.9.1
Occupational health and safety (GRI OGSS Topic: Occupational Health and Safety),GRI 403: Occupational Health and Safety 2018,403-1 Occupational health and safety management system,112 - 116,,,,11.9.2
Occupational health and safety (GRI OGSS Topic: Occupational Health and Safety),GRI 403: Occupational Health and Safety 2018,"403-2 Hazard identification, risk assessment, and incident investigation",112 - 116,,,,11.9.3
Occupational health and safety (GRI OGSS Topic: Occupational Health and Safety),GRI 403: Occupational Health and Safety 2018,403-3 Occupational health services,120,,,,11.9.4
Occupational health and safety (GRI OGSS Topic: Occupational Health and Safety),GRI 403: Occupational Health and Safety 2018,"403-4 Worker participation, consultation, and communication on occupational health and safety",114,,,,11.9.5
Occupational health and safety (GRI OGSS Topic: Occupational Health and Safety),GRI 403: Occupational Health and Safety 2018,403-5 Worker training on occupational health and safety,112 - 113,,,,11.9.6
Occupational health and safety (GRI OGSS Topic: Occupational Health and Safety),GRI 403: Occupational Health and Safety 2018,403-6 Promotion of worker health,122,,,,11.9.7
Occupational health and safety (GRI OGSS Topic: Occupational Health and Safety),GRI 403: Occupational Health and Safety 2018,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,113,,,,11.9.8
Occupational health and safety (GRI OGSS Topic: Occupational Health and Safety),GRI 403: Occupational Health and Safety 2018,403-8 Workers covered by an occupational health and safety management system,112,,,,11.9.9
Occupational health and safety (GRI OGSS Topic: Occupational Health and Safety),GRI 403: Occupational Health and Safety 2018,403-9 Work-related injuries,119,,,,11.9.10
Occupational health and safety (GRI OGSS Topic: Occupational Health and Safety),GRI 403: Occupational Health and Safety 2018,403-10 Work-related ill health,119,,,,11.9.11
Manpower Management (GRI OGSS Topic: Employment Practices),GRI 3: Material Topics 2021,3-3 Management of material topics,47,,,,11.10.1
Manpower Management (GRI OGSS Topic: Employment Practices),GRI 401: Employment 2016,401-1 New employee hires and employee turnover,"97, 102",,,,11.10.2
Manpower Management (GRI OGSS Topic: Employment Practices),GRI 401: Employment 2016,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,98 - 99,,,,11.10.3
Manpower Management (GRI OGSS Topic: Employment Practices),GRI 401: Employment 2016,401-3 Parental leave,98,,,,"11.10.4, 11.11.3"
Manpower Management (GRI OGSS Topic: Economic Impacts),GRI 3: Material Topics 2021,3-3 Management of material topics,46,,,,
Manpower Management (GRI OGSS Topic: Economic Impacts),GRI 204: Procurement Practices 2016,204-1 Proportion of spending on local suppliers,32,,,,11.14.6
Manpower Management (GRI: Labour/Management Relations 2016),GRI 3: Material Topics 2021,3-3 Management of material topics,46,,,,
Manpower Management (GRI: Labour/Management Relations 2016),GRI 402: Labour/Management Relations 2016,402-1 Minimum notice periods regarding operational changes,"103, 108",,,,"11.7.2, 11.10.5"
Manpower Management (GRI: Training and Education 2016),GRI 3: Material Topics 2021,3-3 Management of material topics,47,,,,11.10.1
Manpower Management (GRI: Training and Education 2016),GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,107,,,,"11.10.6, 11.11.4"
Manpower Management (GRI: Training and Education 2016),GRI 404: Training and Education 2016,404-2 Programmes for upgrading employee skills and transition assistance programmes,103,,,,11.10.7
Manpower Management (GRI: Training and Education 2016),GRI 404: Training and Education 2016,404-3 Percentage of employees receiving regular performance and career development reviews,100,,,,
Manpower Management (GRI: Supplier Social Assessment 2016),GRI 3: Material Topics 2021,3-3 Management of material topics,46,,,,
Manpower Management (GRI: Supplier Social Assessment 2016),GRI 414: Supplier Social Assessment 2016,414-1 New suppliers that were screened using social criteria,28,,,,11.10.8
Manpower Management (GRI: Supplier Social Assessment 2016),GRI 414: Supplier Social Assessment 2016,414-2 Negative social impacts in the supply chain and actions taken,28,,,,"11.10.9, 11.12.3"
Customer Satisfaction (Additional Disclosure),GRI 3: Material Topics 2021,3-3 Management of material topics,128,,,,
Human Rights (GRI OGSS Topic: Non-discrimination and Equal Opportunity),GRI 3: Material Topics 2021,3-3 Management of material topics,48,,,,11.11.1
Human Rights (GRI OGSS Topic: Non-discrimination and Equal Opportunity),GRI 406: Non-discrimination 2016,406-1 Incidents of discrimination and corrective actions taken,110,,,,11.11.7
Human Rights (GRI OGSS Topic: Non-discrimination and Equal Opportunity),GRI 3: Material Topics 2021,3-3 Management of material topics,68,,,,11.11.1
Human Rights (GRI OGSS Topic: Non-discrimination and Equal Opportunity),GRI 405: Diversity and Equal Opportunity 2016,405-1 Diversity of governance bodies and employees,"94, 111, 148",,,,11.11.5
Human Rights (GRI OGSS Topic: Non-discrimination and Equal Opportunity),GRI 405: Diversity and Equal Opportunity 2016,405-2 Ratio of basic salary and remuneration of women to men,151,,,,11.11.6
Human Rights (GRI OGSS Topic: Forced Labour and Modern Slavery),GRI 3: Material Topics 2021,3-3 Management of material topics,66,,,,11.12.1
Human Rights (GRI OGSS Topic: Forced Labour and Modern Slavery),GRI 409: Forced or Compulsory Labour 2016,409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labour,109,,,,11.12.2
Human Rights (GRI OGSS Topic: Freedom of Association and Collective Bargaining),GRI 3: Material Topics 2021,3-3 Management of material topics,48,,,,11.13.1
Human Rights (GRI OGSS Topic: Freedom of Association and Collective Bargaining),GRI 407: Freedom of Association and Collective Bargaining 2016,407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,108,,,,11.13.2
Human Rights (GRI OGSS Topic: Economic Impacts),GRI 3: Material Topics 2021,3-3 Management of material topics,174,,,,
Human Rights (GRI OGSS Topic: Economic Impacts),GRI 203: Indirect Economic Impacts 2016,203-1 Infrastructure investments and services supported,177,,,,11.14.4
Human Rights (GRI OGSS Topic: Economic Impacts),GRI 203: Indirect Economic Impacts 2016,203-2 Significant indirect economic impacts,32,,,,11.14.5
Human Rights (GRI OGSS Topic: Rights of Indigenous People),GRI 3: Material Topics 2021,3-3 Management of material topics,48,,,,11.17.1
Human Rights (GRI OGSS Topic: Rights of Indigenous People),GRI 411: Rights of Indigenous Peoples 2016,411-1 Incidents of violations involving rights of indigenous peoples,72,,,,11.17.2
Human Rights (GRI OGSS Topic: Conflict and Security),GRI 3: Material Topics 2021,3-3 Management of material topics,109,,,,11.18.1
Human Rights (GRI OGSS Topic: Conflict and Security),GRI 410: Security Practices 2016,410-1 Security personnel trained in human rights policies or procedures,127,,,,11.18.2
Diversity & Inclusion (GRI OGSS Topic: Local Communities),GRI 3: Material Topics 2021,3-3 Management of material topics,38,,,,11.15.1
Diversity & Inclusion (GRI OGSS Topic: Local Communities),GRI 413: Local Communities 2016,"413-1 Operations with local community engagement, impact assessments, and development programmes","38, 112, 138, 159",,,,11.15.2
Diversity & Inclusion (GRI OGSS Topic: Local Communities),GRI 413: Local Communities 2016,413-2 Operations with significant actual and potential negative impacts on local communities,138 - 145,,,,11.15.3
Transport Safety (Additional Disclosure),GRI 3: Material Topics 2021,3-3 Management of material topics,118 - 119,,,,
"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Anti-competitive Behaviour)",GRI 3: Material Topics 2021,3-3 Management of material topics,156 - 161,,,,11.19.1
"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Anti-competitive Behaviour)",GRI 206: Anti-competitive Behaviour 2016,"206-1 Legal actions for anti-competitive behaviour, anti-trust, and monopoly practices",159,,,,11.19.2
"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Anti-corruption)",GRI 3: Material Topics 2021,3-3 Management of material topics,158,,,,11.20.1
"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Anti-corruption)",GRI 205: Anti-corruption 2016,205-1 Operations assessed for risks related to corruption,158,,,,11.20.2
"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Anti-corruption)",GRI 205: Anti-corruption 2016,205-2 Communication and training about anti-corruption policies and procedures,158,,,,11.20.3
"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Anti-corruption)",GRI 205: Anti-corruption 2016,205-3 Confirmed incidents of corruption and actions taken,158,,,,11.20.4
"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Economic Impacts)",GRI 3: Material Topics 2021,3-3 Management of material topics,48,,,,"11.21.1, 11.14.1"
"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Economic Impacts)",GRI 201: Economic Performance 2016,201-1 Direct economic value generated and distributed,176 - 177,,,,"11.21.2, 11.14.2"
"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Economic Impacts)",GRI 201: Economic Performance 2016,201-2 Financial implications and other risks and opportunities due to climate change,"54, 162",,,,11.02.2
"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Economic Impacts)",GRI 201: Economic Performance 2016,201-3 Defined benefit plan obligations and other retirement plans,106,,Not Applicable,Not a material issue,
"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Economic Impacts)",GRI 201: Economic Performance 2016,201-4 Financial assistance received from government,177,,,,11.21.3
"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Payments to Governments)",GRI 3: Material Topics 2021,3-3 Management of material topics,174,,,,11.21.1
"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Payments to Governments)",GRI 207: Tax 2019,207-1 Approach to tax,177,,Not Applicable,Not a material Issue,11.21.4
"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Payments to Governments)",GRI 207: Tax 2019,"207-2 Tax governance, control, and risk management",177,,Not Applicable,,11.21.5
"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Payments to Governments)",GRI 207: Tax 2019,207-3 Stakeholder engagement and management of concerns related to tax,174,,,,11.21.6
"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Payments to Governments)",GRI 207: Tax 2019,207-4 Country-by-country reporting,174,,,,11.21.7
"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Public Policy)",GRI 3: Material Topics 2021,3-3 Management of material topics,177,,,,11.22.1
"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Public Policy)",GRI 415: Public Policy 2016,415-1 Political contributions,177,,,,11.22.2
"Business Ethics, Transparency & Regulatory Compliance (GRI: Market Presence 2016)",GRI 3: Material Topics 2021,3-3 Management of material topics,91,,,,11.14.1
"Business Ethics, Transparency & Regulatory Compliance (GRI: Market Presence 2016)",GRI 202: Market Presence 2016,202-2 Proportion of senior management hired from the local community,91,,,,"11.11.2, 11.14.3"
Safety and security of critical assets (GRI OGSS Topic: Asset Integrity and Critical Incident Management),GRI 3: Material Topics 2021,3-3 Management of material topics,82,,,,11.8.1
Safety and security of critical assets (GRI OGSS Topic: Asset Integrity and Critical Incident Management),GRI 306: Effluents and Waste 2016,306-3 Significant spills,"78, 82, 87, 126",,,,11.8.2
