Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
Climate Change,GRI 302: Energy 2016,302-2 Energy consumption outside of the organization,,"302-2 a, 302-2 b, 302-2 c",Information unavailable,"DESFA uses the upstream and downstream categories and activities from the ‘GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard’ for identifying relevant emission sources outside of the organization. “Fuel-and energy-related activities (other than fugitives)” category which constitutes 20,16% of Scope 3 emissions, is already included in GRI 302-1 (apart from fugitive emissions which are excluded from the scope). “Purchased goods and services”, “Capital goods” and “Investments” constitute 78,10% of Scope 3 emissions and cannot be converted into “energy consumption outside the organization” due to the methodology used to calculate the emissions which is based on spent report. “Upstream transportation and distribution”, “business travel” and “employee commuted” are not reported under 302-2 as they constitute 0,53% of the Scope 3 emissions and are deemed insignificant by the Company to proceed with the calculation.",11.1.3
Climate Change,GRI 302: Energy 2016,302-3 Energy intensity,4. Environment; 4.2 Carbon Footprint and Energy; p. 74-75; 7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 119,,,,11.1.4
Climate Change,GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,4. Environment; 4.2 Carbon Footprint and Energy; p. 70; 7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 119,,,,11.1.5
Climate Change,GRI 305: Emissions 2016,305-2 Energy indirect (Scope 2) GHG emissions,4. Environment; 4.2 Carbon Footprint and Energy; p. 70-71; 7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 119,,,,11.1.6
Climate Change,GRI 305: Emissions 2016,305-3 Other indirect (Scope 3) GHG emissions,4. Environment; 4.2 Carbon Footprint and Energy; p. 71; 7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 119,,,,11.1.7
Climate Change,GRI 305: Emissions 2016,305-4 GHG emissions intensity,4. Environment; 4.2 Carbon Footprint and Energy; p. 72; 7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 120,,,,11.1.8
Climate Change,GRI 305: Emissions 2016,305-5 Reduction of GHG emissions,7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 120,,,,11.2.3
Biodiversity,GRI 3: Material Topics 2021,3-3 Management of material topics,4. Environment; 4.3 Biodiversity and Ecosystem Impacts; p. 76-79,,,,"11.4.1, 11.15.1, 11.16.1"
Biodiversity,GRI 304: Biodiversity 2016,"304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",4. Environment; 4.3 Biodiversity and Ecosystem Impacts; p. 77,,,,11.4.2
Biodiversity,GRI 304: Biodiversity 2016,"304-2 Significant impacts of activities, products and services on biodiversity",4. Environment; 4.3 Biodiversity and Ecosystem Impacts; p. 77-78,,,,11.4.3
Supplier Environmental Impacts,GRI 3: Material Topics 2021,3-3 Management of material topics,4. Environment; 4.4 Supplier Environmental Impacts; p. 80-81,,,,11.15.1
Supplier Environmental Impacts,GRI 308: Supplier Environmental Assessment 2016,308-2 Negative environmental impacts in the supply chain and actions taken,4. Environment; 4.4 Supplier Environmental Impacts; p. 80,,,,No reference
Supplier Environmental Impacts,GRI 413: Local Communities 2016,"413-1 Operations with local community engagement, impact assessments, and development programs",4. Environment; 4.4 Supplier Environmental Impacts; p. 81,,,,11.15.2
Waste,GRI 306: Waste 2020,,,,Non-material,"Waste generation is limited to construction and maintenance activities, managed through strict mitigation and regulatory compliance; impacts are localized and reversible, with low likelihood of systemic financial or environmental materiality.","11.5.1, 11.5.2, 11.5.3, 11.5.4, 11.5.5, 11.5.6"
Water and Effluents,GRI 303: Water and Effluents 2018,,,,Non-material,Water use and discharge occur mainly during hydrotesting and LNG operations under controlled conditions; mitigation measures and regulatory oversight keep impacts minimal and non-material across time horizons.,"11.6.1, 11.6.2, 11.6.3, 11.6.4, 11.6.5, 11.6.6"
Closure and Rehabilitation,GRI 402: Labor/Management Relations 2016; GRI 404: Training and Education 2016,,,,Non-material,"The business of the Company does not include closure and rehabilitation of operational sites, therefore the respective impacts on the environment, local communities and workers were considered not applicable.","11.7.1, 11.7.2, 11.7.3, 11.7.4, 11.7.5, 11.7.6"
Asset Integrity and Critical incident Management,GRI 306: Effluents and Waste 2016,,,,Non-material,"Asset integrity risks are addressed through robust maintenance and safety systems; likelihood of catastrophic incidents is low, and potential impacts remain below materiality thresholds unless systemic failures occur.","11.8.1, 11.8.2, 11.8.3, 11.8.4"
Impacts on Local Communities & Energy Access,GRI 3: Material Topics 2021,3-3 Management of material topics,5. Society; 5.2 Socioeconomic Impact and Energy Access; p. 95-99,,,,11.14.1
Impacts on Local Communities & Energy Access,GRI 201: Economic Performance 2016,201-1 Direct economic value generated and distributed,5. Society; 5.2 Socioeconomic Impact and Energy Access; p. 96-97; 7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 125,,,,11.14.2
Impacts on Local Communities & Energy Access,GRI 202: Market Presence 2016,202-2 Proportion of senior management hired from the local community,5. Society; 5.2 Socioeconomic Impact and Energy Access; p. 98-99; 7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 125,,,,11.14.3
Impacts on Local Communities & Energy Access,GRI 203: Indirect Economic Impacts 2016,203-1 Infrastructure investments and services supported,5. Society; 5.2 Socioeconomic Impact and Energy Access; p. 96,,,,11.14.4
Impacts on Local Communities & Energy Access,GRI 203: Indirect Economic Impacts 2016,203-2 Significant indirect economic impacts,"5. Society; 5.2 Socioeconomic Impact and Energy Access; p. 96,98",203-2 b,Information unavailable,DESFA did not assess the significance of indirect economic impacts against external benchmarks or stakeholder priorities. DESFA aims to include the requirements of the indicator in future reporting period.,11.14.5
Impacts on Local Communities & Energy Access,GRI 204: Procurement Practices 2016,204-1 Proportion of spending on local suppliers,5. Society; 5.2 Socioeconomic Impact and Energy Access; p. 96-97; 7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 126,,,,11.14.6
Employment Practices,GRI 3: Material Topics 2021,3-3 Management of material topics,5. Society; 5.1 Employment practices and Labor Conditions; p. 83-94,,,,11.10.1
Employment Practices,GRI 401: Employment 2016,401-1 New employee hires and employee turnover,5. Society; 5.1 Employment practices and Labor Conditions; p. 93-94; 7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 123,,,,11.10.2
Employment Practices,GRI 401: Employment 2016,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,5. Society; 5.1 Employment practices and Labor Conditions; p. 85,,,,11.10.3
Employment Practices,GRI 401: Employment 2016,401-3 Parental leave,5. Society; 5.1 Employment practices and Labor Conditions; p. 93; 7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 124,,,,11.10.4
Employment Practices,GRI 402: Labor / Management Relations 2016,402-1 Minimum notice periods regarding operational changes,5. Society; 5.1 Employment practices and Labor Conditions; p. 84,,,,11.10.5
