Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
Biodiversity and natural resources,GRI 304: Biodiversity 2016,304-4 Species on the IUCN Red List and National Conservation Lists whose habitats are in areas affected by operations,54,,,,11.4.5
Biodiversity and natural resources,GRI 303: Water and Effluents 2018,303-1 Interaction with water as a shared resource,57,,,,11.6.2
Biodiversity and natural resources,GRI 303: Water and Effluents 2018,303-2 Management of water discharge-related impacts,57,,,,11.6.3
Biodiversity and natural resources,GRI 303: Water and Effluents 2018,303-3 Water withdrawal,58,,,,11.6.4
Biodiversity and natural resources,GRI 303: Water and Effluents 2018,303-4 Water discharge,58,,,,11.6.5
Biodiversity and natural resources,GRI 303: Water and Effluents 2018,303-5 Water consumption,58,,,,11.6.6
Biodiversity and natural resources,GRI 306: Effluents and Waste 2016,306-3 Significant spills,59,,,,11.8.2
Biodiversity and natural resources,GRI 306: Waste 2020,306-1 Waste generation and significant waste-related impacts,60,,,,11.5.2
Biodiversity and natural resources,GRI 306: Waste 2020,306-2 Management of significant waste-related impacts,60,,,,11.5.3
Biodiversity and natural resources,GRI 306: Waste 2020,306-3 Waste generated,60,,,,11.5.4
Biodiversity and natural resources,GRI 306: Waste 2020,306-4 Waste diverted from disposal,60,,,,11.5.5
Biodiversity and natural resources,GRI 306: Waste 2020,306-5 Waste directed to disposal,60,,,,11.5.6
Engagement with local communities and indigenous peoples,GRI 3: Material Topics 2021,3-3 Management of material topics,37,,,,"11.14.1, 11.15.1, 11.16.1, 11.17.1"
Engagement with local communities and indigenous peoples,GRI 202: Market presence 2016,202-2 Proportion of senior management hired from the local community,"For the reporting period, we did not have senior executives hired directly from the local community.",,,,
Engagement with local communities and indigenous peoples,GRI 203: Indirect Economic Impacts 2016,203-1 Infrastructure investments and services supported,39,,,,11.14.4
Engagement with local communities and indigenous peoples,GRI 203: Indirect Economic Impacts 2016,203-2 Significant indirect economic impacts,40,,,,11.14.5
Engagement with local communities and indigenous peoples,GRI 413: Local Communities 2016,"413-1 Operations with local community engagement, impact assessments and development programs",40,,,,11.15.2
Engagement with local communities and indigenous peoples,GRI 413: Local Communities 2016,413-2 Operations with significant actual and potential negative impacts on local communities,40,,,,11.15.3
Engagement with local communities and indigenous peoples,GRI 11: Oil & Gas Sectors 2021,"11.15 Report the number and types of grievances from local communities identified, including: percentage of the grievances that were addressed and resolved; percentage of grievances that were resolved through remediation.",43,,,,11.15.4
Engagement with local communities and indigenous peoples,GRI 11: Oil & Gas Sectors 2021,"11.16 List the locations of operations that caused or contributed to involuntary resettlement or where such resettlement is ongoing. For each location, describe how peoples’ livelihoods and human rights were affected and restored.",38,,,,11.16.2
Engagement with local communities and indigenous peoples,GRI 11: Oil & Gas Sectors 2021,11.17 List the locations of operations where indigenous peoples are present or affected by activities of the organization.,38,,,,11.17.3
Engagement with local communities and indigenous peoples,GRI 11: Oil & Gas Sectors 2021,"11.17 Report if the organization has been involved in a process of seeking free, prior and informed consent (FPIC) from indigenous peoples for any of the organization's activities, including whether the process has been mutually accepted by the organization and the affected indigenous peoples, and whether an agreement has been reached and if the agreement is publicly available.","During the reporting period, no FPIC processes have been developed.",,,,11.17.4
Business continuity,GRI 3: Material Topics 2021,3-3 Management of material topics,69,,,,"11.7.1, 11.10.1, 11.12.1, 11.14.1, 11.21.1"
Business continuity,GRI 201: Economic Performance,201-1 Direct economic value generated and distributed,70,,,,"11.14.2, 11.21.2"
Business continuity,GRI 201: Economic Performance,201-4 Financial assistance received from the government,"During the reporting period, we received no financial assistance of any kind from the Government, including subsidies, tax incentives, credit benefits, grants, or other financial support. Likewise, no government entity is part of our shareholding structure.",c,,,11.21.3
Business continuity,GRI 204: Sourcing Practices 2016,204-1 Proportion of spending on local suppliers,42,a,,,11.14.6
Business continuity,GRI 308: Supplier Environmental Assessment 2016,308-1 New suppliers that were screened using environmental criteria,48,,,,
Business continuity,GRI 308: Supplier Environmental Assessment 2016,308-2 Negative environmental impacts in the supply chain and actions taken,48,,,,
Business continuity,GRI 414: Supplier Social Assessment 2016,414-1 New suppliers that were screened using social criteria,48,,,,"11.10.8, 11.12.3"
Business continuity,GRI 414: Supplier Social Assessment 2016,414-2 Negative social impacts in the supply chain and actions taken,48,,,,11.10.9
Human rights,GRI 3: Material Topics 2021,3-3 Management of material topics,44,,,,"11.11.1, 11.12.1, 11.13.1, 11.17.1, 11.18.1"
Human rights,GRI 406: Non-Discrimination 2016,406-1 Incidents of discrimination and corrective actions taken,"During the reporting period, there were no instances of discrimination in our operation.",,,,11.11.7
Human rights,GRI 407: Freedom of Association and Collective Bargaining 2016,407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,"During the reporting period, we received no complaints or grievances related to possible human rights violations in our operation or supply chain, specifically with regard to freedom of association and collective bargaining.",,,,11.13.2
Human rights,GRI 408: Child Labor 2016,408-1 Operations and suppliers at significant risk for incidents of child labor,"During the reporting period, we received no complaints or grievances related to possible human rights violations in our operation or supply chain, specifically in relation to child labor.",,,,
Human rights,GRI 409: Forced or Compulsory Labor 2016,409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labor,"During the reporting period, we received no complaints or grievances related to possible human rights violations in our operation or supply chain, specifically regarding forced or compulsory labor.",,,,11.12.2
Human rights,GRI 410: Security Practices 2016,410-1 Security personnel trained in human rights policies or procedures,49,,,,11.18.2
